Description,Address,Value,Type
P1_A_Lifebars,_P1_A_Lifebar_X+3D84,??,4 Byte
P1_A_Lifebars,_P1_A_Lifebar_X+724,??,4 Byte
P1_A_Name,,,Byte
P1_A_Name_X,_P1_A_Name_X,??,Float
P1_A_Name_Y,_P1_A_Name_X+4,??,Float
P1_A_Name_Z,_P1_A_Name_X+8,??,Float
P1_B_Lifebar,,,Byte
P1_B_Lifebar_X,_P1_B_Lifebar_X,??,Float
P1_B_Lifebar_Y,_P1_B_Lifebar_X+4,??,Float
P1_B_Lifebar_Z,_P1_B_Lifebar_X+8,??,Float
P1_B_Lifebars,_P1_B_Lifebar_X-1C,??,4 Byte
P1_B_Lifebars,_P1_B_Lifebar_X+1B4,??,4 Byte
P1_B_Lifebars,_P1_B_Lifebar_X+2F04,??,4 Byte
P1_B_Lifebars,_P1_B_Lifebar_X+724,??,4 Byte
P1_B_Name,,,Byte
P1_B_Name_X,_P1_B_Name_X,??,Float
P1_B_Name_Y,_P1_B_Name_X+4,??,Float
P1_B_Name_Z,_P1_B_Name_X+8,??,Float
P1_C_Lifebar,,,Byte
P1_C_Lifebar_X,_P1_C_Lifebar_X,??,Float
P1_C_Lifebar_Y,_P1_C_Lifebar_X+4,??,Float
P1_C_Lifebar_Z,_P1_C_Lifebar_X+8,??,Float
P1_C_Lifebars,_P1_C_Lifebar_X-1C,??,4 Byte
P1_C_Lifebars,_P1_C_Lifebar_X+1B4,??,4 Byte
P1_C_Lifebars,_P1_C_Lifebar_X+724,??,4 Byte
P1_C_Lifebars,_P1_C_Lifebar_X+2084,??,4 Byte
P1_C_Name,,,Byte
P1_C_Name_X,_P1_C_Name_X,??,Float
P1_C_Name_Y,_P1_C_Name_X+4,??,Float
P1_C_Name_Z,_P1_C_Name_X+8,??,Float
P2_A_Lifebar,,,Byte
P2_A_Lifebar_X,_P2_A_Lifebar_X,??,Float
P2_A_Lifebar_Y,_P2_A_Lifebar_X+4,??,Float
P2_A_Lifebar_Z,_P2_A_Lifebar_X+8,??,Float
P2_A_Lifebars,_P2_A_Lifebar_X+1B4,??,4 Byte
P2_A_Lifebars,_P2_A_Lifebar_X-1C,??,4 Byte
P2_A_Lifebars,_P2_A_Lifebar_X+3644,??,4 Byte
P2_A_Lifebars,_P2_A_Lifebar_X+724,??,4 Byte
P2_A_Name,,,Byte
P2_A_Name_X,_P2_A_Name_X,??,Float
P2_A_Name_Y,_P2_A_Name_X+4,??,Float
P2_A_Name_Z,_P2_A_Name_X+8,??,Float
P2_B_Lifebar,,,Byte
P2_B_Lifebar_X,_P2_B_Lifebar_X,??,Float
P2_B_Lifebar_Y,_P2_B_Lifebar_X+4,??,Float
P2_B_Lifebar_Z,_P2_B_Lifebar_X+8,??,Float
P2_B_Lifebars,_P2_B_Lifebar_X-1C,??,4 Byte
P2_B_Lifebars,_P2_B_Lifebar_X+1B4,??,4 Byte
P2_B_Lifebars,_P2_B_Lifebar_X+724,??,4 Byte
P2_B_Lifebars,_P2_B_Lifebar_X+27C4,??,4 Byte
P2_B_Name,,,Byte
P2_B_Name_X,_P2_B_Name_X,??,Float
P2_B_Name_Y,_P2_B_Name_X+4,??,Float
P2_B_Name_Z,_P2_B_Name_X+8,??,Float
P2_C_Lifebar,,,Byte
P2_C_Lifebar_X,_P2_C_Lifebar_X,??,Float
P2_C_Lifebar_Y,_P2_C_Lifebar_X+4,??,Float
P2_C_Lifebar_Z,_P2_C_Lifebar_X+8,??,Float
P2_C_Lifebars,_P2_C_Lifebar_X-1C,??,4 Byte
P2_C_Lifebars,_P2_C_Lifebar_X+1B4,??,4 Byte
P2_C_Lifebars,_P2_C_Lifebar_X+724,??,4 Byte
P2_C_Lifebars,_P2_C_Lifebar_X+1944,??,4 Byte
P2_C_Name,,,Byte
P2_C_Name_X,_P2_C_Name_X,??,Float
P2_C_Name_Y,_P2_C_Name_X+4,??,Float
P2_C_Name_Z,_P2_C_Name_X+8,??,Float
02 Meter Gauge,,,Byte
P1_BarLine_X,_P1_BarLine_X,??,Float
P1_BarLine_Y,_P1_BarLine_X+4,??,Float
P1_BarLine_Z,_P1_BarLine_X+8,??,Float
P2_BarLine_X,_P1_BarLine_X+3A0,??,Float
P2_BarLine_Y,_P1_BarLine_X+3A4,??,Float
P2_BarLine_Z,_P1_BarLine_X+3A8,??,Float
P1_BarValue_X,_P1_BarLine_X+1790,??,Float
P1_BarValue_Y,_P1_BarLine_X+1794,??,Float
P1_BarValue_Z,_P1_BarLine_X+1798,??,Float
P2_BarValue_X,_P1_BarLine_X+1960,??,Float
P2_BarValue_Y,_P1_BarLine_X+1964,??,Float
P2_BarValue_Z,_P1_BarLine_X+1968,??,Float
P1_Meter_Small_X,_P1_BarLine_X-1D0,??,Float
P1_Meter_Small_Y,_P1_BarLine_X-1CC,??,Float
P1_Meter_Small_Z,_P1_BarLine_X-1C8,??,Float
P2_Meter_Small_X,_P1_BarLine_X+1D0,??,Float
P2_Meter_Small_Y,_P1_BarLine_X+1D4,??,Float
P2_Meter_Small_Z,_P1_BarLine_X+1D8,??,Float
P1_Meter_Extra,_P1_BarLine_X+1880C,??,Float
03 Timer,,,Byte
Timer_X,_Timer_X,??,Float
Timer_Y,_Timer_X+4,??,Float
Timer_Z,_Timer_X+8,??,Float
Timer_X_1,_Timer_X+1D0,??,Float
Timer_Y_1,_Timer_X+1D4,??,Float
Timer_Z_1,_Timer_X+1D8,??,Float
04 Timer & Meter Models,,,Byte
04_Addresses,,,Byte
01 Timer Model,,,Byte
TimerZ_A_dup,2CE8E788,??,Float
Timer-Z_B,2CE8E7A8,??,Float
Timer-Z_C,2CE8E7C8,??,Float
Timer-Z_D,2CE8E7E8,??,Float
02 Meter Models,,,Byte
Meter Values,,,Byte
Meter&Timer Models & Levels,2CE8E538,??,Float
P1_Meter_Level,2CE8E590,??,Float
P2_Meter_Level,2CE8E668,??,Float
Meter_Value_Highlight,2CE8E3E0,??,Float
Meter_Value_Highlight,2CE8E428,??,Float
Meter_Value_Highlight,2CE8E448,??,Float
Meter_Value_Highlight,2CE8E468,??,Float
Meter_Value_Highlight,2CE8E488,??,Float
Meter_Value_Highlight,2CE8E4B8,??,Float
Meter Models,,,Byte
Meter_Model,2CE8E818,??,Float
Meter_Model,2CE8E860,??,Float
Meter_Model,2CE8E880,??,Float
Meter_Model,2CE8E8A0,??,Float
Meter_Model,2CE8E8C0,??,Float
Meter_Model,2CE8E8E0,??,Float
Meter_Model,2CE8E910,??,Float
Meter_Model,2CE8E938,??,Float
Meter_Model,2CE8E958,??,Float
Meter_Model,2CE8E988,??,Float
Meter_Model,2CE8E9B0,??,Float
Meter_Model,2CE8E9D0,??,Float
Meter_Model,2CE8EA00,??,Float
Meter_Model,2CE8EA28,??,Float
Meter_Model,2CE8EA48,??,Float
Meter_Model,2CE8EA78,??,Float
Meter_Model,2CE8EAA0,??,Float
Meter_Model,2CE8EAC0,??,Float
Meter_Model,2CE8EAF0,??,Float
Meter_Model,2CE8EB18,??,Float
Meter_Model,2CE8EB38,??,Float
Meter_Model,2CE8EB68,??,Float
Meter_Model,2CE8EB90,??,Float
Meter_Model,2CE8EBB0,??,Float
Meter_Model,2CE8EBE0,??,Float
Meter_Model,2CE8EC08,??,Float
Meter_Model,2CE8EC30,??,Float
Meter_Model,2CE8EC50,??,Float
Meter_Model,2CE8EC70,??,Float
Meter_Model,2CE8EC90,??,Float
Meter_Model,2CE8ECB0,??,Float
Meter_Model,2CE8ECD0,??,Float
Meter_Model,2CE8ECF0,??,Float
Meter_Model,2CE8ED10,??,Float
Meter_Model,2CE8ED30,??,Float
Meter_Model,2CE8ED70,??,Float
Meter_Model,2CE8EDB8,??,Float
Meter_Model,2CE8EDD8,??,Float
Meter_Model,2CE8EDF8,??,Float
Meter_Model,2CE8EE18,??,Float
Meter_Model,2CE8EE38,??,Float
Meter_Model,2CE8EE60,??,Float
Meter_Model,2CE8EE80,??,Float
Meter_Model,2CE8EEA8,??,Float
Meter_Model,2CE8EEC8,??,Float
Meter_Model,2CE8EEF8,??,Float
Meter_Model,2CE8EF20,??,Float
Meter_Model,2CE8EF40,??,Float
Meter_Model,2CE8EF70,??,Float
Meter_Model,2CE8EF98,??,Float
Meter_Model,2CE8EFB8,??,Float
Meter_Model,2CE8EFE8,??,Float
Meter_Model,2CE8F010,??,Float
Meter_Model,2CE8F030,??,Float
Meter_Model,2CE8F060,??,Float
Meter_Model,2CE8F088,??,Float
Meter_Model,2CE8F0A8,??,Float
Meter_Model,2CE8F0D8,??,Float
Meter_Model,2CE8F100,??,Float
Meter_Model,2CE8F120,??,Float
Meter_Model,2CE8F1F0,??,Float
Meter_Model,2CE8F238,??,Float
Meter_Model,2CE8F270,??,Float
Meter_Model,2CE8F2B0,??,Float
Meter_Model,2CE8F2D8,??,Float
05 Indicators,,,Byte
05_Addresses,,,Byte
Cursor_P1A_T1,_Cursor_P1A_T1,??,Float
Cursor_P1A_T2,_Cursor_P1A_T1+4,??,Float
Cursor_P1A_T3,_Cursor_P1A_T1+8,??,Float
Cursor_P1B_T1,_Cursor_P1A_T1+740,??,Float
Cursor_P1B_T2,_Cursor_P1A_T1+744,??,Float
Cursor_P1B_T3,_Cursor_P1A_T1+748,??,Float
Cursor_P1C_T1,_Cursor_P1A_T1+AE0,??,Float
Cursor_P1C_T2,_Cursor_P1A_T1+AE4,??,Float
Cursor_P1C_T3,_Cursor_P1A_T1+AE8,??,Float
Cursor_P2_2,_Cursor_P1A_T1+E84,??,Float
Cursor_P2_3,_Cursor_P1A_T1+E88,??,Float
Cursor_P2_4,_Cursor_P1A_T1+AE0,??,Float
Cursor_P2_5,_Cursor_P1A_T1+AE4,??,Float
Cursor_P2_6,_Cursor_P1A_T1+AE8,??,Float
Cursor_P2_7,_Cursor_P1A_T1+570,??,Float
Cursor_P2_8,_Cursor_P1A_T1+574,??,Float
Cursor_P2_9,_Cursor_P1A_T1+578,??,Float
Cursor_P2_10,_Cursor_P1A_T1+3A0,??,Float
Cursor_P2_11,_Cursor_P1A_T1+3A4,??,Float
Cursor_P2_12,_Cursor_P1A_T1+3A8,??,Float
Cursor_P2_13,2C26C7A4,??,Float
Cursor_P2_14,2C26C7A8,??,Float
Cursor_P2_15,2C26C7AC,??,Float
Cursor_P2_16,2C26CB44,??,Float
Cursor_P2_16,2C26CB48,??,Float
Cursor_P2_16,2C26CB4C,??,Float
Cursor_P2_16,2C26CB90,??,Float
Cursor_P2_16,2C26CB7C,??,Float
Cursor_P2_16,2C26CBA4,??,Float
Cursor_P2_16,2C26CBB8,??,Float
06_Shadow_Object_Controller-0,,,Byte
Effects,2C26A908,??,4 Byte
Meter_Text,2C26A90C,??,4 Byte
AllShadows_SuperScreen,2C26AA60,??,4 Byte
MainHUD,2C287A88,??,4 Byte
NEW_HERO,2C13A2D8,??,String
06_Shadow_Finder_Script,,,Pointer
07_Timer_Script,,,Pointer
07_P2_Timer_Script,,,Pointer
07 Ability Timers,,,Byte
P1 Timers,,,Byte
P1_Temp_1,,,Byte
P1_Inner_1,,,Byte
AA Scan,,,Pointer
Convert Addresses to Symbols,,,Pointer
P1_Timer_Inner_X_1,_P1_Timer_Inner_X_1,??,Float
P1_Timer_Inner_Y,_P1_Timer_Inner_X_1+4,??,Float
P1_Timer_Inner_Z,_P1_Timer_Inner_X_1+8,??,Float
P1_Outer_1,,,Byte
AA Scan,,,Pointer
Convert Addresses to Symbols,,,Pointer
P1_Timer_Outer_X_1,_P1_Timer_Outer_X_1,??,Float
P1_Timer_Outer_Y,_P1_Timer_Outer_X_1+4,??,Float
P1_Timer_Outer_Z,_P1_Timer_Outer_X_1+8,??,Float
P2 Timers,,,Byte
P2_Temp_1,,,Byte
P2_Inner_1,,,Byte
AA Scan,,,Pointer
Convert Addresses to Symbols,,,Pointer
P2_Timer_Inner_X_1,_P2_Timer_Inner_X_1,??,Float
P2_Timer_Inner_Y,_P2_Timer_Inner_X_1+4,??,Float
P2_Timer_Inner_Z,_P2_Timer_Inner_X_1+8,??,Float
P2_Outer_1,,,Byte
AA Scan,,,Pointer
Convert Addresses to Symbols,,,Pointer
P2_Timer_Outer_X_1,_P2_Timer_Outer_X_1,??,Float
P2_Timer_Outer_Y,_P2_Timer_Outer_X_1+4,??,Float
P2_Timer_Outer_Z,_P2_Timer_Outer_X_1+8,??,Float
Total_Frames,2C3496B0,??,4 Byte
Specific_Character_Values,,,Byte
Anakaris,,,Byte
Anakaris_Special_Stun_Timer,,,Byte
P1_A_Anakaris_SStun_Timer,0A7B7BDD,0,Byte
P1_B_Anakaris_SStun_Timer,0A7B874D,0,Byte
P1_C_Anakaris_SStun_Timer,0A7B92BD,0,Byte
P2_A_Anakaris_SStun_Timer,0A7B8195,0,Byte
P2_B_Anakaris_SStun_Timer,0A7B8D05,0,Byte
P2_C_Anakaris_SStun_Timer,0A7B9875,0,Byte
Bison,,,Byte
Bison_214kk_Timer,,,Byte
P1_A_Bison_214kk_Timer,2C2685EE,??,2 Byte
P1_B_Bison_214kk_Timer,2C269136,??,2 Byte
P1_C_Bison_214kk_Timer,2C269C7E,??,2 Byte
P2_A_Bison_214kk_Timer,2C268B92,??,2 Byte
P2_B_Bison_214kk_Timer,2C2696DA,??,2 Byte
P2_C_Bison_214kk_Timer,2C26A222,??,2 Byte
Cable,,,Byte
Cable_236p_Timer,,,Byte
P1_A_Cable_236p_Timer,0540D0CE,0,2 Byte
P1_B_Cable_236p_Timer,0540DC3E,0,2 Byte
P1_C_Cable_236p_Timer,0540E7AE,0,2 Byte
P2_A_Cable_236p_Timer,0540D686,0,2 Byte
P2_B_Cable_236p_Timer,0540E1F6,0,2 Byte
P2_C_Cable_236p_Timer,0540ED66,0,2 Byte
Dhalsim,,,Byte
Dhalsim_214kk_Timer,,,Byte
P1_A_Dhalsim_214kk_Timer,2C2685EC,??,2 Byte
P1_B_Dhalsim_214kk_Timer,2C269134,??,2 Byte
P1_C_Dhalsim_214kk_Timer,2C269C7C,??,2 Byte
P2_A_Dhalsim_214kk_Timer,2C268B90,??,2 Byte
P2_B_Dhalsim_214kk_Timer,2C2696D8,??,2 Byte
P2_C_Dhalsim_214kk_Timer,2C26A220,??,2 Byte
Doom,,,Byte
Doom_214kk_Timer,,,Byte
P1_A_Doom_214kk_Timer,2C2685EE,??,2 Byte
P1_B_Doom_214kk_Timer,2C269136,??,2 Byte
P1_C_Doom_214kk_Timer,2C269C7E,??,2 Byte
P2_A_Doom_214kk_Timer,2C268B92,??,2 Byte
P2_B_Doom_214kk_Timer,2C2696DA,??,2 Byte
P2_C_Doom_214kk_Timer,2C26A222,??,2 Byte
Iron_Man,,,Byte
Iron_Man_214kk_Timer,,,Byte
P1_A_Iron_Man_214kk_Timer,2C2685E8,??,2 Byte
P1_B_Iron_Man_214kk_Timer,2C269130,??,2 Byte
P1_C_Iron_Man_214kk_Timer,2C269C78,??,2 Byte
P2_A_Iron_Man_214kk_Timer,2C268B8C,??,2 Byte
P2_B_Iron_Man_214kk_Timer,2C2696D4,??,2 Byte
P2_C_Iron_Man_214kk_Timer,2C26A21C,??,2 Byte
Magneto,,,Byte
Magneto_214kk_Timer,,,Byte
P1_A_Magneto_214kk_Timer,2C2685EA,??,2 Byte
P1_B_Magneto_214kk_Timer,2C269132,??,2 Byte
P1_C_Magneto_214kk_Timer,2C269C7A,??,2 Byte
P2_A_Magneto_214kk_Timer,2C268B8E,??,2 Byte
P2_B_Magneto_214kk_Timer,2C2696D6,??,2 Byte
P2_C_Magneto_214kk_Timer,2C26A21E,??,2 Byte
Megaman,,,Byte
Megaman_214kk_Timer,,,Byte
P1_A_Megaman_214kk_Timer,0540D386,0,2 Byte
P1_B_Megaman_214kk_Timer,0540DEF6,0,2 Byte
P1_C_Megaman_214kk_Timer,0540EA66,0,2 Byte
P2_A_Megaman_214kk_Timer,0540D93E,0,2 Byte
P2_B_Megaman_214kk_Timer,0540E4AE,0,2 Byte
P2_C_Megaman_214kk_Timer,0540F01E,0,2 Byte
Sentinel,,,Byte
Sentinel_214kk_Timer,,,Byte
P1_A_Sentinel_214kk_Timer,2C2685E4,??,2 Byte
P1_B_Sentinel_214kk_Timer,2C26912C,??,2 Byte
P1_C_Sentinel_214kk_Timer,2C269C74,??,2 Byte
P2_A_Sentinel_214kk_Timer,2C268B88,??,2 Byte
P2_B_Sentinel_214kk_Timer,2C2696D0,??,2 Byte
P2_C_Sentinel_214kk_Timer,2C26A218,??,2 Byte
Storm,,,Byte
Storm_214kk_Timer,,,Byte
P1_A_Storm_214kk_Timer,2C2685F4,??,2 Byte
P1_B_Storm_214kk_Timer,2C26913C,??,2 Byte
P1_C_Storm_214kk_Timer,2C269C84,??,2 Byte
P2_A_Storm_214kk_Timer,2C268B98,??,2 Byte
P2_B_Storm_214kk_Timer,2C2696E0,??,2 Byte
P2_C_Storm_214kk_Timer,2C26A228,??,2 Byte
War_Machine,,,Byte
War_Machine_214kk_Timer,,,Byte
P1_A_War_Machine_214kk_Timer,2C2685E8,??,2 Byte
P1_B_War_Machine_214kk_Timer,2C269130,??,2 Byte
P1_C_War_Machine_214kk_Timer,2C269C78,??,2 Byte
P2_A_War_Machine_214kk_Timer,2C268B8C,??,2 Byte
P2_B_War_Machine_214kk_Timer,2C2696D4,??,2 Byte
P2_C_War_Machine_214kk_Timer,2C26A21C,??,2 Byte
Main,,,Byte
A_2D_Game_Timer,2C289630,??,Byte
Duplicates,,,Byte
Y_Clamp_Top_duplicate,2C26A5B8,??,Float
Player_Values,,,Byte
Base,,,Byte
P1_A_Base,2C268340,,Byte
P1_B_Base,2C268E88,,Byte
P1_C_Base,2C2699D0,,Byte
P2_A_Base,2C2688E4,,Byte
P2_B_Base,2C26942C,,Byte
P2_C_Base,2C269F74,,Byte
Position,,,Byte
X_Gravity,,,Byte
P1_A_X_Gravity,2C2683A8,??,Float
P1_B_X_Gravity,2C268EF0,??,Float
P1_C_X_Gravity,2C269A38,??,Float
P2_A_X_Gravity,2C26894C,??,Float
P2_B_X_Gravity,2C269494,??,Float
P2_C_X_Gravity,2C269FDC,??,Float
Y_Gravity,,,Byte
P1_A_Y_Gravity,2C2683AC,??,Float
P1_B_Y_Gravity,2C268EF4,??,Float
P1_C_Y_Gravity,2C269A3C,??,Float
P2_A_Y_Gravity,2C268950,??,Float
P2_B_Y_Gravity,2C269498,??,Float
P2_C_Y_Gravity,2C269FE0,??,Float
X_Position_From_Enemy,,,Byte
P1_A_X_Position_From_Enemy,2C2685D8,??,Float
P1_B_X_Position_From_Enemy,2C269120,??,Float
P1_C_X_Position_From_Enemy,2C269C68,??,Float
P2_A_X_Position_From_Enemy,2C268B7C,??,Float
P2_B_X_Position_From_Enemy,2C2696C4,??,Float
P2_C_X_Position_From_Enemy,2C26A20C,??,Float
Y_Position_From_Enemy,,,Byte
P1_A_Y_Position_From_Enemy,2C2687CC,??,Float
P1_B_Y_Position_From_Enemy,2C269314,??,Float
P1_C_Y_Position_From_Enemy,2C269E5C,??,Float
P2_A_Y_Position_From_Enemy,2C268D70,??,Float
P2_B_Y_Position_From_Enemy,2C2698B8,??,Float
P2_C_Y_Position_From_Enemy,2C26A400,??,Float
X_Position_Arena,,,Byte
P1_A_X_Position_Arena,2C268374,??,Float
P1_B_X_Position_Arena,2C268EBC,??,Float
P1_C_X_Position_Arena,2C269A04,??,Float
P2_A_X_Position_Arena,2C268918,??,Float
P2_B_X_Position_Arena,2C269460,??,Float
P2_C_X_Position_Arena,2C269FA8,??,Float
Y_Position_Arena,,,Byte
P1_A_Y_Position_Arena,2C268378,??,Float
P1_B_Y_Position_Arena,2C268EC0,??,Float
P1_C_Y_Position_Arena,2C269A08,??,Float
P2_A_Y_Position_Arena,2C26891C,??,Float
P2_B_Y_Position_Arena,2C269464,??,Float
P2_C_Y_Position_Arena,2C269FAC,??,Float
X_Position_Screen,,,Byte
P1_A_X_Position_Screen,2C268420,??,Float
P1_B_X_Position_Screen,2C268F68,??,Float
P1_C_X_Position_Screen,2C269AB0,??,Float
P2_A_X_Position_Screen,2C2689C4,??,Float
P2_B_X_Position_Screen,2C26950C,??,Float
P2_C_X_Position_Screen,2C26A054,??,Float
Y_Position_Screen,,,Byte
P1_A_Y_Position_Screen,2C268424,??,Float
P1_B_Y_Position_Screen,2C268F6C,??,Float
P1_C_Y_Position_Screen,2C269AB4,??,Float
P2_A_Y_Position_Screen,2C2689C8,??,Float
P2_B_Y_Position_Screen,2C269510,??,Float
P2_C_Y_Position_Screen,2C26A058,??,Float
X_Velocity,,,Byte
P1_A_X_Velocity,2C26839C,??,Float
P1_B_X_Velocity,2C268EE4,??,Float
P1_C_X_Velocity,2C269A2C,??,Float
P2_A_X_Velocity,2C268940,??,Float
P2_B_X_Velocity,2C269488,??,Float
P2_C_X_Velocity,2C269FD0,??,Float
Y_Velocity,,,Byte
P1_A_Y_Velocity,2C2683A0,??,Float
P1_B_Y_Velocity,2C268EE8,??,Float
P1_C_Y_Velocity,2C269A30,??,Float
P2_A_Y_Velocity,2C268944,??,Float
P2_B_Y_Velocity,2C26948C,??,Float
P2_C_Y_Velocity,2C269FD4,??,Float
Scaling,,,Byte
Hitbox_Scale_X,,,Byte
P1_A_Hitbox_Scale_X,2C26842C,??,Float
P1_B_Hitbox_Scale_X,2C268F74,??,Float
P1_C_Hitbox_Scale_X,2C269ABC,??,Float
P2_A_Hitbox_Scale_X,2C2689D0,??,Float
P2_B_Hitbox_Scale_X,2C269518,??,Float
P2_C_Hitbox_Scale_X,2C26A060,??,Float
Hitbox_Scale_Y,,,Byte
P1_A_Hitbox_Scale_Y,2C268430,??,Float
P1_B_Hitbox_Scale_Y,2C268F78,??,Float
P1_C_Hitbox_Scale_Y,2C269AC0,??,Float
P2_A_Hitbox_Scale_Y,2C2689D4,??,Float
P2_B_Hitbox_Scale_Y,2C26951C,??,Float
P2_C_Hitbox_Scale_Y,2C26A064,??,Float
Sprite_Scale_X,,,Byte
P1_A_Sprite_Scale_X,2C268390,??,Float
P1_B_Sprite_Scale_X,2C268ED8,??,Float
P1_C_Sprite_Scale_X,2C269A20,??,Float
P2_A_Sprite_Scale_X,2C268934,??,Float
P2_B_Sprite_Scale_X,2C26947C,??,Float
P2_C_Sprite_Scale_X,2C269FC4,??,Float
Sprite_Scale_Y,,,Byte
P1_A_Sprite_Scale_Y,2C268394,??,Float
P1_B_Sprite_Scale_Y,2C268EDC,??,Float
P1_C_Sprite_Scale_Y,2C269A24,??,Float
P2_A_Sprite_Scale_Y,2C268938,??,Float
P2_B_Sprite_Scale_Y,2C269480,??,Float
P2_C_Sprite_Scale_Y,2C269FC8,??,Float
Sprite_Scale_Z,,,Byte
P1_A_Sprite_Scale_Z,2C268398,??,Float
P1_B_Sprite_Scale_Z,2C268EE0,??,Float
P1_C_Sprite_Scale_Z,2C269A28,??,Float
P2_A_Sprite_Scale_Z,2C26893C,??,Float
P2_B_Sprite_Scale_Z,2C269484,??,Float
P2_C_Sprite_Scale_Z,2C269FCC,??,Float
Action_Flags,,,Byte
P1_A_Action_Flags,2C268346,??,Byte
P1_B_Action_Flags,2C268E8E,??,Byte
P1_C_Action_Flags,2C2699D6,??,Byte
P2_A_Action_Flags,2C2688EA,??,Byte
P2_B_Action_Flags,2C269432,??,Byte
P2_C_Action_Flags,2C269F7A,??,Byte
Air_Dash_Count,,,Byte
P1_A_Air_Dash_Count,2C268515,??,Byte
P1_B_Air_Dash_Count,2C26905D,??,Byte
P1_C_Air_Dash_Count,2C269BA5,??,Byte
P2_A_Air_Dash_Count,2C268AB9,??,Byte
P2_B_Air_Dash_Count,2C269601,??,Byte
P2_C_Air_Dash_Count,2C26A149,??,Byte
Air_Recovery_Timer,,,Byte
P1_A_Air_Recovery_Timer,2C268579,??,Byte
P1_B_Air_Recovery_Timer,2C2690C1,??,Byte
P1_C_Air_Recovery_Timer,2C269C09,??,Byte
P2_A_Air_Recovery_Timer,2C268B1D,??,Byte
P2_B_Air_Recovery_Timer,2C269665,??,Byte
P2_C_Air_Recovery_Timer,2C26A1AD,??,Byte
Airborne,,,Byte
P1_A_Airborne,2C268539,??,Byte
P1_B_Airborne,2C269081,??,Byte
P1_C_Airborne,2C269BC9,??,Byte
P2_A_Airborne,2C268ADD,??,Byte
P2_B_Airborne,2C269625,??,Byte
P2_C_Airborne,2C26A16D,??,Byte
Animation_Lock,,,Byte
P1_A_Animation_Lock,2C268344,??,Byte
P1_B_Animation_Lock,2C268E8C,??,Byte
P1_C_Animation_Lock,2C2699D4,??,Byte
P2_A_Animation_Lock,2C2688E8,??,Byte
P2_B_Animation_Lock,2C269430,??,Byte
P2_C_Animation_Lock,2C269F78,??,Byte
Animation_Timer_Main,,,Byte
P1_A_Animation_Timer_Main,2C26835C,??,2 Byte
P1_B_Animation_Timer_Main,2C268EA4,??,2 Byte
P1_C_Animation_Timer_Main,2C2699EC,??,2 Byte
P2_A_Animation_Timer_Main,2C268900,??,2 Byte
P2_B_Animation_Timer_Main,2C269448,??,2 Byte
P2_C_Animation_Timer_Main,2C269F90,??,2 Byte
Animation_Value,,,Byte
P1_A_Animation_Value,2C268484,??,2 Byte
P1_B_Animation_Value,2C268FCC,??,2 Byte
P1_C_Animation_Value,2C269B14,??,2 Byte
P2_A_Animation_Value,2C268A28,??,2 Byte
P2_B_Animation_Value,2C269570,??,2 Byte
P2_C_Animation_Value,2C26A0B8,??,2 Byte
Assist_Counter,,,Byte
P1_A_Assist_Counter,2C2684E3,??,Byte
P1_B_Assist_Counter,2C26902B,??,Byte
P1_C_Assist_Counter,2C269B73,??,Byte
P2_A_Assist_Counter,2C268A87,??,Byte
P2_B_Assist_Counter,2C2695CF,??,Byte
P2_C_Assist_Counter,2C26A117,??,Byte
Assist_Onscreen,,,Byte
P1_A_Assist_Onscreen,2C268534,??,Byte
P1_B_Assist_Onscreen,2C26907C,??,Byte
P1_C_Assist_Onscreen,2C269BC4,??,Byte
P2_A_Assist_Onscreen,2C268AD8,??,Byte
P2_B_Assist_Onscreen,2C269620,??,Byte
P2_C_Assist_Onscreen,2C26A168,??,Byte
Assist_Value,,,Byte
P1_A_Assist_Value,2C268809,??,Byte
P1_B_Assist_Value,2C269351,??,Byte
P1_C_Assist_Value,2C269E99,??,Byte
P2_A_Assist_Value,2C268DAD,??,Byte
P2_B_Assist_Value,2C2698F5,??,Byte
P2_C_Assist_Value,2C26A43D,??,Byte
Attack_Immune,,,Byte
P1_A_Attack_Immune,2C26852D,??,Byte
P1_B_Attack_Immune,2C269075,??,Byte
P1_C_Attack_Immune,2C269BBD,??,Byte
P2_A_Attack_Immune,2C268AD1,??,Byte
P2_B_Attack_Immune,2C269619,??,Byte
P2_C_Attack_Immune,2C26A161,??,Byte
Attack_Number,,,Byte
P1_A_Attack_Number,2C2684E1,??,Byte
P1_B_Attack_Number,2C269029,??,Byte
P1_C_Attack_Number,2C269B71,??,Byte
P2_A_Attack_Number,2C268A85,??,Byte
P2_B_Attack_Number,2C2695CD,??,Byte
P2_C_Attack_Number,2C26A115,??,Byte
Block_Meter,,,Byte
P1_A_Block_Meter,2C268551,??,Byte
P1_B_Block_Meter,2C269099,??,Byte
P1_C_Block_Meter,2C269BE1,??,Byte
P2_A_Block_Meter,2C268AF5,??,Byte
P2_B_Block_Meter,2C26963D,??,Byte
P2_C_Block_Meter,2C26A185,??,Byte
Block_Stun,,,Byte
P1_A_Block_Stun,2C26851E,??,Byte
P1_B_Block_Stun,2C269066,??,Byte
P1_C_Block_Stun,2C269BAE,??,Byte
P2_A_Block_Stun,2C268AC2,??,Byte
P2_B_Block_Stun,2C26960A,??,Byte
P2_C_Block_Stun,2C26A152,??,Byte
Color,,,Byte
P1_A_Color,2C268365,??,Byte
P1_B_Color,2C268EAD,??,Byte
P1_C_Color,2C2699F5,??,Byte
